rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0000.jpg,0.0,0.8223,0.7196,0.875,1.0,8,7,False,True
2,frame_0067.jpg,26.8,0.8185,0.7121,0.875,1.0,7,7,False,True
3,frame_0078.jpg,31.2,0.7833,0.7807,0.75,0.84,7,6,False,True
4,frame_0031.jpg,12.4,0.7799,0.6348,0.875,1.0,10,7,False,True
5,frame_0073.jpg,29.2,0.7593,0.8186,0.5,1.0,7,4,False,True
6,frame_0074.jpg,29.6,0.7343,0.8436,0.375,1.0,8,3,False,False
7,frame_0068.jpg,27.2,0.733,0.616,0.75,1.0,10,6,False,False
8,frame_0368.jpg,147.2,0.7327,0.8493,1.0,0.04,12,8,False,True
9,frame_0004.jpg,1.6,0.7262,0.6774,0.625,1.0,6,5,False,False
10,frame_0377.jpg,150.8,0.7217,0.8703,0.875,0.12,11,7,False,True
11,frame_0169.jpg,67.6,0.7167,0.7755,0.75,0.52,9,6,False,True
12,frame_0007.jpg,2.8,0.7041,0.6331,0.625,1.0,5,5,False,True
13,frame_0030.jpg,12.0,0.6996,0.5491,0.75,1.0,8,6,False,False
14,frame_0071.jpg,28.4,0.6983,0.6965,0.5,1.0,5,4,False,False
15,frame_0001.jpg,0.4,0.6961,0.6922,0.5,1.0,10,4,False,False
16,frame_0015.jpg,6.0,0.6888,0.6776,0.5,1.0,6,4,False,True
17,frame_0288.jpg,115.2,0.687,0.786,0.5,0.72,9,4,False,True
18,frame_0069.jpg,27.6,0.6869,0.6739,0.5,1.0,7,4,False,False
19,frame_0127.jpg,50.8,0.6866,0.7533,0.5,0.8,8,4,False,True
20,frame_0292.jpg,116.8,0.6856,0.6763,0.625,0.8,7,5,False,False
21,frame_0367.jpg,146.8,0.6844,0.8118,0.875,0.08,10,7,False,False
22,frame_0072.jpg,28.8,0.6833,0.5915,0.625,1.0,9,5,False,False
23,frame_0128.jpg,51.2,0.6778,0.7196,0.5,0.84,7,4,False,False
24,frame_0132.jpg,52.8,0.6687,0.5624,0.625,1.0,7,5,False,False
25,frame_0319.jpg,127.6,0.6678,0.6986,0.875,0.28,9,7,False,False
26,frame_0291.jpg,116.4,0.6675,0.699,0.5,0.84,8,4,False,False
27,frame_0387.jpg,154.8,0.6614,0.7928,0.75,0.2,12,6,False,False
28,frame_0396.jpg,158.4,0.6605,0.8071,0.75,0.16,10,6,False,False
29,frame_0287.jpg,114.8,0.6552,0.7384,0.5,0.68,7,4,False,False
30,frame_0033.jpg,13.2,0.6541,0.6081,0.5,1.0,11,4,False,False
31,frame_0077.jpg,30.8,0.6506,0.7992,0.25,0.88,9,2,False,False
32,frame_0301.jpg,120.4,0.6499,0.7489,0.625,0.44,7,5,False,False
33,frame_0388.jpg,155.2,0.6477,0.7064,0.875,0.16,11,7,False,False
34,frame_0299.jpg,119.6,0.6419,0.6259,0.75,0.52,8,6,False,False
35,frame_0005.jpg,2.0,0.6381,0.5763,0.5,1.0,7,4,False,False
36,frame_0294.jpg,117.6,0.6378,0.6125,0.625,0.72,5,5,False,False
37,frame_0018.jpg,7.2,0.6374,0.5748,0.5,1.0,6,4,False,False
38,frame_0011.jpg,4.4,0.6357,0.6463,0.375,1.0,4,3,False,False
39,frame_0075.jpg,30.0,0.6354,0.5867,0.5,0.96,7,4,False,False
40,frame_0176.jpg,70.4,0.6336,0.7211,0.75,0.24,8,6,False,False
41,frame_0290.jpg,116.0,0.6302,0.6405,0.5,0.8,7,4,False,False
42,frame_0116.jpg,46.4,0.63,0.7411,0.625,0.36,8,5,False,False
43,frame_0129.jpg,51.6,0.6298,0.6076,0.5,0.88,7,4,False,False
44,frame_0302.jpg,120.8,0.6298,0.6496,0.75,0.4,7,6,False,False
45,frame_0185.jpg,74.0,0.6293,0.7766,0.75,0.08,10,6,False,False
46,frame_0070.jpg,28.0,0.6261,0.7022,0.25,1.0,9,2,False,False
47,frame_0173.jpg,69.2,0.6244,0.7298,0.625,0.36,8,5,False,False
48,frame_0186.jpg,74.4,0.6223,0.7037,0.875,0.04,10,7,False,False
49,frame_0284.jpg,113.6,0.6218,0.7196,0.5,0.56,5,4,False,False
